,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low
34,2,Morning Yoga,0,573,573,0,Yoga,Yoga,,14381399457,2025-05-04T02:42:56Z,2025-05-04T08:12:56Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,112.7,146,FALSE,TRUE,0,0
35,2,Morning Run,4012,1569,1569,5,Run,Run,,14370519049,2025-05-04T01:57:11Z,2025-05-04T07:27:11Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.602579, 77.450615]","[28.602751, 77.450531]",2.557,3.4,,TRUE,170.1,184,FALSE,TRUE,206.3,201.2
36,2,Morning Yoga,0,609,609,0,Yoga,Yoga,,14338777398,2025-05-01T01:43:45Z,2025-05-01T07:13:45Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,107.7,139,FALSE,TRUE,0,0
37,2,Morning Run,5038,1958,1997,3.3,Run,Run,,14338618724,2025-05-01T00:54:33Z,2025-05-01T06:24:33Z,(GMT+05:30) Asia/Kolkata,19800,,,,1,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.602591, 77.450577]","[28.60416, 77.448616]",2.573,4.2,,TRUE,168.7,183,FALSE,TRUE,204.7,201
38,2,Morning Yoga (Post Run Cool Down),0,434,434,0,Workout,Yoga,,14317656391,2025-04-29T01:37:03Z,2025-04-29T07:07:03Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,109.5,134,FALSE,TRUE,0,0
39,2,Morning Run,5041,2003,2042,12.4,Run,Run,,14317656411,2025-04-29T00:53:04Z,2025-04-29T06:23:04Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.602642, 77.4506]","[28.604202, 77.44854]",2.517,4.2,,TRUE,163,190,FALSE,TRUE,214,201
40,2,Morning Weight Training,0,2316,2316,0,WeightTraining,WeightTraining,,14308103854,2025-04-28T02:50:29Z,2025-04-28T08:20:29Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,103.4,149,FALSE,TRUE,0,0
41,2,Night Walk,1146.3,851,903,8.8,Walk,Walk,,14293187718,2025-04-26T15:47:36Z,2025-04-26T21:17:36Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.607732, 77.437019]","[28.60663, 77.447048]",1.347,2.4,,FALSE,,,FALSE,FALSE,210,200.7
42,2,Evening Walk,1243.9,846,846,7.4,Walk,Walk,,14292690463,2025-04-26T15:04:07Z,2025-04-26T20:34:07Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.60739, 77.447476]","[28.607402, 77.437181]",1.47,2.48,,FALSE,,,FALSE,FALSE,210,200.7
43,2,Morning Yoga (Post run Cool down),0,982,982,0,Yoga,Yoga,,14278034523,2025-04-25T01:30:17Z,2025-04-25T07:00:17Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,109,142,FALSE,TRUE,0,0
44,2,Morning Run,4317,1665,1727,9.5,Run,Run,,14277918552,2025-04-25T00:50:08Z,2025-04-25T06:20:08Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[28.602591, 77.450638]","[28.604303, 77.448402]",2.593,4.2,,TRUE,167.9,181,FALSE,TRUE,207.9,200.8
45,2,Morning Yoga (Post run cool down),0,469,469,0,Workout,Yoga,,14237886094,2025-04-21T02:23:08Z,2025-04-21T07:53:08Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,113.1,143,FALSE,TRUE,0,0
46,2,Morning Run,11081.7,4133,4503,21.9,Run,Run,0,14237793174,2025-04-21T00:48:55Z,2025-04-21T06:18:55Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,6,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516701, 73.926456]","[18.516943, 73.92605]",2.681,4.129,78.7,TRUE,172.5,189,TRUE,TRUE,568.2,556.6
47,2,Morning Yoga,0,683,683,0,Yoga,Yoga,,14237792973,2025-04-19T02:54:02Z,2025-04-19T08:24:02Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,105.5,133,FALSE,TRUE,0,0
48,2,Morning Run,6573.7,2399,2470,16.5,Run,Run,,14218500168,2025-04-19T01:53:46Z,2025-04-19T07:23:46Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,2,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516739, 73.926445]","[18.516827, 73.925592]",2.74,4.061,77.9,TRUE,168.6,184,TRUE,TRUE,570.5,562.5
49,2,Morning Workout,0,2795,2795,0,Workout,Workout,,14209232905,2025-04-18T02:18:05Z,2025-04-18T07:48:05Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,111.2,155,FALSE,TRUE,0,0
50,2,Morning Yoga (Post Run cool down),0,471,471,0,Yoga,Yoga,,14209232861,2025-04-17T02:55:23Z,2025-04-17T08:25:23Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,106.8,127,FALSE,TRUE,0,0
51,2,Morning Run,2617.4,945,945,3.1,Run,Run,,14199769540,2025-04-17T02:24:37Z,2025-04-17T07:54:37Z,(GMT+05:30) Asia/Kolkata,19800,,,,1,5,0,3,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516762, 73.926431]","[18.518471, 73.928423]",2.77,4.123,77.6,TRUE,164.9,181,FALSE,TRUE,569.3,561.7
52,2,Morning Workout,0,3098,3098,0,Workout,Workout,,14199769487,2025-04-16T02:20:22Z,2025-04-16T07:50:22Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,106.6,155,FALSE,TRUE,0,0
53,2,Morning Yoga,0,1804,1804,0,Yoga,Yoga,,14170994667,2025-04-14T02:06:27Z,2025-04-14T07:36:27Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,78.9,108,FALSE,TRUE,0,0
54,2,Evening Run,15108.2,5652,5802,35.7,Run,Run,0,14167042229,2025-04-13T13:51:37Z,2025-04-13T19:21:37Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,2,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516592, 73.926379]","[18.516834, 73.926321]",2.673,4.873,78.1,TRUE,179.4,192,TRUE,TRUE,565.7,556.3
55,2,Morning Walk,1537,1409,1409,58.6,Walk,Walk,,14154690841,2025-04-12T04:04:58Z,2025-04-12T09:34:58Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[19.061525, 73.541016]","[19.070955, 73.536797]",1.091,3,,FALSE,,,FALSE,FALSE,909.9,849.5
56,2,Evening Walk,1515.3,1295,1295,7.9,Walk,Walk,,14136728365,2025-04-10T13:32:23Z,2025-04-10T19:02:23Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.519832, 73.928828]","[18.510207, 73.929494]",1.17,2.16,,FALSE,,,FALSE,FALSE,561.8,553.3
57,2,Morning Yoga (Post Run Cool-down),0,711,711,0,Yoga,Yoga,,14132917688,2025-04-10T02:50:00Z,2025-04-10T08:20:00Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,3,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,103.2,141,FALSE,TRUE,0,0
58,2,Morning Run,4386.9,1649,1649,10.2,Run,Run,,14132863015,2025-04-10T02:05:51Z,2025-04-10T07:35:51Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,6,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516735, 73.926489]","[18.517833, 73.926264]",2.66,3.518,77,TRUE,168.9,182,FALSE,TRUE,567.9,562.6
59,2,Morning Workout,0,3162,3162,0,Workout,Workout,,14122967379,2025-04-09T02:03:57Z,2025-04-09T07:33:57Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,111.7,158,FALSE,TRUE,0,0
60,2,Morning Yoga (Post Run),0,976,976,0,Yoga,Yoga,,14112597415,2025-04-08T02:57:19Z,2025-04-08T08:27:19Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,112.3,155,FALSE,TRUE,0,0
61,2,Morning Run,4031.4,1515,1515,8.1,Run,Run,0,14112499450,2025-04-08T02:21:28Z,2025-04-08T07:51:28Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516684, 73.926419]","[18.518688, 73.926354]",2.661,4.163,76.9,TRUE,170.4,188,TRUE,TRUE,552.9,543.7
62,2,Morning Yoga,0,1429,1429,0,Yoga,Yoga,,14044439211,2025-04-01T02:15:15Z,2025-04-01T07:45:15Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,5,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,96.7,141,FALSE,TRUE,0,0
63,2,Morning Run,5033.1,1935,1935,22,Run,Run,,14007810659,2025-03-28T02:11:56Z,2025-03-28T07:41:56Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,6,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516791, 73.926507]","[18.518387, 73.928951]",2.601,4.769,77.9,TRUE,161.9,180,FALSE,TRUE,562.3,554.2
64,2,Morning Yoga,0,1413,1413,0,Yoga,Yoga,,13998352546,2025-03-26T02:36:44Z,2025-03-26T08:06:44Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,84.6,121,FALSE,TRUE,0,0
65,2,Morning Run,12329.9,4943,4952,48.1,Run,Run,,13978788056,2025-03-25T01:53:30Z,2025-03-25T07:23:30Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,4,0,1,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.516771, 73.926499]","[18.518411, 73.929199]",2.494,4.777,78.4,TRUE,169.9,185,FALSE,TRUE,562.4,554.2
66,2,Morning Yoga,0,3301,3301,0,Workout,Yoga,,13969688125,2025-03-24T02:15:14Z,2025-03-24T07:45:14Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,101,144,FALSE,TRUE,0,0
67,2,Morning Run @ Nitrrothon,10143.9,3469,3477,9.7,Run,Run,0,13959446125,2025-03-23T00:35:30Z,2025-03-23T06:05:30Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,6,2,20,0,FALSE,FALSE,FALSE,FALSE,everyone,FALSE,,"[18.5435, 73.900833]","[18.543563, 73.900888]",2.924,4.759,80.1,TRUE,183.3,193,TRUE,TRUE,552.7,547.5
68,2,Morning Yoga,0,2663,2663,0,Workout,Yoga,,13950301833,2025-03-22T02:52:50Z,2025-03-22T08:22:50Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,2,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,95.6,136,FALSE,TRUE,0,0
69,2,Morning Yoga (Post Run),0,557,557,0,Yoga,Yoga,,13950301745,2025-03-21T02:57:30Z,2025-03-21T08:27:30Z,(GMT+05:30) Asia/Kolkata,19800,,,,0,1,0,1,0,TRUE,FALSE,FALSE,FALSE,everyone,FALSE,,[],[],0,0,,TRUE,100.2,131,FALSE,TRUE,0,0
